"Type","Title","Director","Cast","Country","Date_added","Release_year","Rating","Duration","Listed_in","Age","IMDb","Rotten.Tomatoes","Netflix","Hulu","Prime.Video","Disney","Rating_category","Age_years","Cross_platform_score","Overall_score"
"TV Show","Kid Cosmic","","Jack Fisher, Tom Kenny, Amanda C. Miller, Kim Yarbrough, Keith Ferguson, Grey Griffin, Lily Rose Silver","United States","September 7, 2021",2021,"TV-Y7","2 Seasons","Kids' TV, TV Comedies, TV Sci-Fi & Fantasy","7+","8.0/10","49/100",1,0,0,0,"Low",3,0.25,0.645
"TV Show","Tayo the Little Bus","","Robyn Slade, Kami Desilets","South Korea","September 6, 2021",2016,"TV-Y","2 Seasons","Kids' TV, Korean TV Shows","","5.6/10","40/100",1,1,1,0,"Low",8,0.75,0.48
"TV Show","Kid-E-Cats","","Lori Gardner, Kate Bristol, Billy Bob Thompson, Marc Thompson, Erica Schroeder","Russia","September 1, 2021",2016,"TV-Y","2 Seasons","Kids' TV","all","7.4/10","35/100",1,0,0,0,"Low",8,0.25,0.545
"TV Show","Kuroko's Basketball","","Kensho Ono, Yuki Ono, Chiwa Saito, Yoshimasa Hosoya, Hirofumi Nojima, Kenji Hamada, Takuya Eguchi, Soichiro Hoshi, Tatsuhisa Suzuki, Go Inoue, Daisuke Ono, Ryohei Kimura, Junichi Suwabe, Kazuya Nakai, Fumiko Orikasa, Kenichi Suzumura, Kisho Taniyama, Hiroshi Kamiya","Japan","September 1, 2021",2015,"TV-MA","3 Seasons","Anime Series, International TV Shows, Teen TV Shows","","8.3/10","72/100",1,0,0,0,"High",9,0.25,0.775
"TV Show","Bread Barbershop","","Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim","","August 28, 2021",2020,"TV-Y","2 Seasons","Kids' TV, TV Comedies","","8.8/10","44/100",1,0,0,0,"Low",4,0.25,0.66
"TV Show","Rebellion","","Charlie Murphy, Ruth Bradley, Sarah Greene, Brian Gleeson, Michelle Fairley, Ian McElhinney, Michael Ford-FitzGerald, Paul Reid, Barry Ward, Tom Turner, Perdita Weeks, Andrew Simpson, Sophie Robinson","Ireland","August 27, 2021",2016,"TV-MA","2 Seasons","International TV Shows, TV Dramas","16+","7.2/10","60/100",1,0,0,0,"High",8,0.25,0.66
"TV Show","Family Reunion","","Loretta Devine, Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson, Isaiah Russell-Bailey, Cameron J. Wright, Jordyn Raya James, Richard Roundtree","United States","August 26, 2021",2021,"TV-PG","4 Seasons","Kids' TV, TV Comedies","7+","6.5/10","52/100",1,0,0,0,"Low",3,0.25,0.585
"TV Show","Wheel of Fortune","","Pat Sajak, Vanna White","United States","August 25, 2021",2019,"TV-G","3 Seasons","Reality TV","all","6.7/10","55/100",1,0,0,0,"Low",5,0.25,0.61
"TV Show","Manifest","","Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez, Luna Blaise, Jack Messina, Parveen Kaur","United States","August 21, 2021",2021,"TV-14","3 Seasons","TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","16+","7.2/10","81/100",1,1,0,0,"Medium",3,0.5,0.765
"TV Show","Go! Go! Cory Carson","","Alan C. Lim, Paul Killam, Maisie Benson, Kerry Gudjohnsen, Smith Foreman, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Jim Capobianco, Anna Chambers, Pfifer Chastain","United States","August 18, 2021",2021,"TV-Y","5 Seasons","Kids' TV","all","8.1/10","43/100",1,0,0,0,"Low",3,0.25,0.62
"TV Show","Mother Goose Club","","","United States","August 16, 2021",2016,"TV-Y","2 Seasons","Kids' TV","","7.4/10","43/100",1,0,0,0,"Low",8,0.25,0.585
"TV Show","Rascal Does Not Dream of Bunny Girl Senpai","","Kaito Ishikawa, Asami Seto, Nao Toyama, Atsumi Tanezaki, Maaya Uchida, Yurika Kubo, Inori Minase","Japan","August 15, 2021",2018,"TV-14","1 Season","Anime Series, International TV Shows, Romantic TV Shows","16+","8.2/10","67/100",0,1,0,0,"Medium",6,0.25,0.745
"TV Show","Winx Club","","Liza Jacqueline, Helena Evangeliou, Lisa Ortiz, Kerry Williams, Gregory Abbey, Dan Green, Michael Sinterniklaas, Suzy Myers, Christina Rodriguez, Dani Schaffel, Sebastian Arcelus, Rachael Lillis","Italy","August 15, 2021",2015,"TV-Y7","2 Seasons","Kids' TV","all","6.2/10","57/100",1,0,0,0,"Low",9,0.25,0.595
"TV Show","Fast & Furious Spy Racers","","Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry","United States","August 13, 2021",2021,"TV-Y7","5 Seasons","Kids' TV","7+","5.5/10","62/100",1,0,0,0,"Low",3,0.25,0.585
"TV Show","Grace and Frankie","","Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, June Diane Raphael, Brooklyn Decker, Ethan Embry, Baron Vaughn","United States","August 13, 2021",2021,"TV-MA","7 Seasons","TV Comedies, TV Dramas","18+","8.3/10","80/100",1,0,0,0,"High",3,0.25,0.815
"TV Show","Valeria","Inma Torrente","Diana Gómez, Silma López, Paula Malia, Teresa Riott, Maxi Iglesias, Ibrahim Al Shami","Spain","August 13, 2021",2021,"TV-MA","2 Seasons","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","18+","6.2/10","52/100",1,0,0,0,"High",3,0.25,0.57
"TV Show","Gabby's Dollhouse","","Laila Lockhart Kraner, Tucker Chandler, Juliet Donenfeld, Maggi Lowe, Donovan Patton, Eduardo Franco, Tara Strong, Secunda Wood, Carla Tassara, Sainty Nelsen","United States","August 10, 2021",2021,"TV-Y","2 Seasons","Kids' TV","all","7.1/10","46/100",1,0,0,0,"Low",3,0.25,0.585
"TV Show","Car Masters: Rust to Riches","","Mark Towle, Shawn Pilot, Constance Nunes, Tony Quinones, Mike ""Caveman"" Pyle","","August 4, 2021",2021,"TV-PG","3 Seasons","Reality TV","7+","8.8/10","61/100",1,0,0,0,"Low",3,0.25,0.745
"TV Show","Control Z","","Ana Valeria Becerril, Michael Ronda, Yankel Stevan, Zion Moreno, Luis Curiel, Samantha Acuña, Macarena García, Fiona Palomo, Andrés Baida, Patricio Gallardo, Iván Aragón, Xabiani Ponce de León, Patricia Maqueo, Rodrigo Cachero, Rocío Verdejo, Mauro Sánchez Navarro, Lidia San José, Thanya López, Renata del Castillo, Arturo Barba, Kariam Castro, Ariana Saavedra, Alexander Holtmann, Nastassia Villasana, Marco Zunino","Mexico","August 4, 2021",2021,"TV-MA","2 Seasons","International TV Shows, Spanish-Language TV Shows, TV Dramas","18+","6.9/10","61/100",1,0,0,0,"High",3,0.25,0.65
"TV Show","Autumn's Concerto","","Ady An, Vanness Wu, Ann Hsu, Wu Kang-ren, Xiao Xiao Bin","Taiwan","August 3, 2021",2009,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas","16+","8.0/10","50/100",1,0,0,0,"Medium",15,0.25,0.65
"TV Show","Office Girls","Hsu Fu-chun","Roy Chiu, Alice Ko, Tia Lee, Patrick Lee, Kuo Shu-yao, James Wen, Janel Tsai","Taiwan","August 3, 2021",2011,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","6.9/10","40/100",1,0,0,0,"Medium",13,0.25,0.545
"TV Show","The Prince Who Turns into a Frog","","Joe Chen, Ming Dao, Sam Wang, Joyce Chao, Gino, Su Li-hsin, Wang Chuan, Ehlo Huang","Taiwan","August 3, 2021",2005,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","7.0/10","43/100",1,0,0,0,"Medium",19,0.25,0.565
"TV Show","Two Fathers","","Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung","Taiwan","August 3, 2021",2013,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","","18/100",1,0,0,0,"Medium",11,0.25,NA
"TV Show","30 Rock","","Tina Fey, Alec Baldwin, Tracy Morgan, Jane Krakowski, Jack McBrayer, Scott Adsit, Judah Friedlander, Katrina Bowden, Keith Powell, Lonny Ross, John Lutz, Kevin Brown, Grizz Chapman, Maulik Pancholy","United States","August 1, 2021",2012,"TV-14","7 Seasons","TV Comedies","16+","8.2/10","84/100",0,1,1,0,"Medium",12,0.5,0.83
"TV Show","44 Cats","","Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin","Italy","August 1, 2021",2020,"TV-Y7","3 Seasons","Kids' TV","7+","6.1/10","43/100",1,0,0,0,"Low",4,0.25,0.52
"Movie","Cloudy with a Chance of Meatballs","Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker","United States, Canada","August 1, 2021",2009,"PG","90 min","Children & Family Movies, Comedies, Sci-Fi & Fantasy","all","3.3/10","40/100",1,0,0,0,"Low",15,0.25,0.365
"TV Show","Friday Night Lights","","Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter","","August 1, 2021",2010,"TV-14","5 Seasons","TV Dramas, Teen TV Shows","7+","8.6/10","83/100",0,1,1,0,"Medium",14,0.5,0.845
"TV Show","Charmed","","Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie","United States","July 31, 2021",2021,"TV-14","3 Seasons","TV Dramas, TV Sci-Fi & Fantasy","16+","4.6/10","62/100",1,0,0,0,"Medium",3,0.25,0.54
"TV Show","Centaurworld","","Kimiko Glenn, Megan Hilty, Parvesh Cheena, Chris Diamantopoulos, Megan Nicole Dong, Jessie Mueller, Josh Radnor","","July 30, 2021",2021,"TV-Y7","1 Season","Kids' TV, TV Comedies","7+","7.1/10","42/100",1,0,0,0,"Low",3,0.25,0.565
"TV Show","Outer Banks","","Chase Stokes, Madelyn Cline, Madison Bailey, Jonathan Daviss, Rudy Pankow, Charles Esten, Adina Porter, Austin North, Drew Starkey","United States","July 30, 2021",2021,"TV-MA","2 Seasons","TV Action & Adventure, TV Dramas, Teen TV Shows","18+","7.6/10","79/100",1,0,0,0,"High",3,0.25,0.775
"TV Show","Tattoo Redo","","","","July 28, 2021",2021,"TV-MA","1 Season","Reality TV","","5.1/10","43/100",1,0,0,0,"High",3,0.25,0.47
"TV Show","The Flash","Glen Winter","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht","United States","July 28, 2021",2021,"TV-14","7 Seasons","Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","16+","7.6/10","88/100",1,0,0,0,"Medium",3,0.25,0.82
"TV Show","The Snitch Cartel: Origins","","Juan Pablo Urrego, Sebastián Osorio, Patricia Tamayo, Verónica Velásquez, María Camila Zárate, Nicole Santamaría, Eduardo Pérez, Julian Farrieta, Gustavo Angarita Jr., Carlos Manuel Vesga, Helena Mallarino, David Prada, Margarita Reyes, Adriana Silva, Laura Rodríguez, Angélica Blandón, Maia Landaburu, Jesús de los Ríos","","July 28, 2021",2021,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","","","51/100",1,0,0,0,"High",3,0.25,NA
"TV Show","All American","","Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane","United States","July 27, 2021",2021,"TV-14","3 Seasons","TV Dramas, Teen TV Shows","16+","7.7/10","79/100",1,0,0,0,"Medium",3,0.25,0.78
"TV Show","How to Sell Drugs Online (Fast)","","Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling","Germany","July 27, 2021",2021,"TV-MA","3 Seasons","Crime TV Shows, International TV Shows, TV Comedies","18+","7.9/10","71/100",1,0,0,0,"High",3,0.25,0.75
"TV Show","Mighty Express","","Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Shombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin","United States, Canada","July 27, 2021",2021,"TV-Y","4 Seasons","Kids' TV","all","5.0/10","40/100",1,0,0,0,"Low",3,0.25,0.45
"TV Show","The Walking Dead","","Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal","United States","July 26, 2021",2019,"TV-MA","10 Seasons","Classic & Cult TV, TV Action & Adventure, TV Dramas","18+","8.2/10","93/100",1,0,0,0,"High",5,0.25,0.875
"TV Show","Wynonna Earp","","Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis","Canada, United States","July 26, 2021",2020,"TV-MA","4 Seasons","International TV Shows, TV Action & Adventure, TV Dramas","16+","7.5/10","78/100",1,0,0,0,"High",4,0.25,0.765
"TV Show","Feels Like Ishq","","Radhika Madan, Amol Parashar, Rohit Saraf, Kajol Chugh, Tanya Maniktala, Mihir Ahuja, Simran Jehani, Sanjeeta Bhattacharya, Saba Azaad, Skand Thakur, Zayn Marie Khan, Neeraj Madhav","","July 23, 2021",2021,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","6.7/10","47/100",1,0,0,0,"High",3,0.25,0.57
"TV Show","Masters of the Universe: Revelation","","Mark Hamill, Lena Headey, Chris Wood, Sarah Michelle Gellar, Liam Cunningham, Stephen Root, Diedrich Bader, Griffin Newman, Tiffany Smith, Henry Rollins, Alan Oppenheimer, Susan Eisenberg, Alicia Silverstone, Justin Long, Jason Mewes, Phil LaMarr, Tony Todd, Cree Summer, Kevin Michael Richardson, Kevin Conroy, Harley Quinn Smith","","July 23, 2021",2021,"TV-PG","1 Season","TV Action & Adventure, TV Sci-Fi & Fantasy","7+","4.9/10","71/100",1,0,0,0,"Low",3,0.25,0.6
"TV Show","Sky Rojo","","Verónica Sánchez, Miguel Ángel Silvestre, Asier Etxeandia, Lali Espósito, Yany Prado, Enric Auquer, Luis Zahera, Carmen Santamaría, Cecilia Gómez, Godeliv Van den Brandt, Penélope Guerrero, Luisa Vides, Niko Verona, Chema Ruiz","Spain","July 23, 2021",2021,"TV-MA","2 Seasons","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure","18+","6.5/10","70/100",1,0,0,0,"High",3,0.25,0.675
"TV Show","The Movies That Made Us","","","United States","July 23, 2021",2021,"TV-MA","2 Seasons","Docuseries","18+","7.8/10","75/100",1,0,0,0,"High",3,0.25,0.765
"TV Show","Chicago Med","","Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden","United States","July 22, 2021",2019,"TV-14","5 Seasons","TV Dramas","16+","7.6/10","71/100",1,1,0,0,"Medium",5,0.5,0.735
"TV Show","Sexy Beasts","","","","July 21, 2021",2021,"TV-14","1 Season","British TV Shows, International TV Shows, Reality TV","","4.7/10","57/100",1,0,0,0,"Medium",3,0.25,0.52
"TV Show","Too Hot to Handle: Brazil","","Bruna Louise","","July 21, 2021",2021,"TV-MA","1 Season","International TV Shows, Reality TV, Romantic TV Shows","","5.5/10","51/100",1,0,0,0,"High",3,0.25,0.53
"TV Show","Okupas","","Rodrigo de la Serna, Diego Alonso, Ariel Staltari, Franco Tirri, Ana Celentano, Rosina Soto, Augusto Brítez, Dante Mastropierro, Susana Manchini, Diana Wells","Argentina","July 20, 2021",2020,"TV-MA","1 Season","Classic & Cult TV, Crime TV Shows, International TV Shows","18+","9.1/10","52/100",1,0,0,0,"High",4,0.25,0.715
"TV Show","Touch Your Heart","","Lee Dong-wook, Yoo In-na, Lee Sang-woo, Son Sung-yoon, Oh Jung-se, Shim Hyoung-tak, Jang So-yeon, Park Ji-hwan, Lee Jun-hyuk","","July 20, 2021",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Romantic TV Shows","","7.7/10","44/100",1,0,0,0,"High",5,0.25,0.605
"TV Show","Explained","","","United States","July 16, 2021",2021,"TV-MA","3 Seasons","Docuseries, Science & Nature TV","16+","8.0/10","70/100",1,0,0,0,"High",3,0.25,0.75
"TV Show","Johnny Test","","James Arnold Taylor, Trevor Devall, Maryke Hendrikse, Emily Tennant","United States, Canada","July 16, 2021",2021,"TV-Y7","1 Season","Kids' TV, TV Comedies","all","5.1/10","53/100",1,0,0,0,"Low",3,0.25,0.52
"TV Show","Naomi Osaka","Garrett Bradley","","","July 16, 2021",2021,"TV-14","1 Season","Docuseries","","6.2/10","59/100",1,0,0,0,"Medium",3,0.25,0.605
"TV Show","BEASTARS","","Chikahiro Kobayashi, Sayaka Senbongi, Yuki Ono, Atsumi Tanezaki, Junya Enoki, Yuma Uchida, Takeo Otsuka, Naoto Kobayashi, Yoshiyuki Shimozuma, Nobuhiko Okamoto, Fukushi Ochiai, Takaaki Torashima, Sayumi Watabe, Genki Muro, Yuichi Iguchi, Yuko Hara, Ikuto Kanemasa, Ouchi Akane, Hibiku Yamamura, Sakura Ando, Akio Otsuka, Mitsuaki Hoshino, Kenyu Horiuchi","Japan","July 15, 2021",2021,"TV-MA","2 Seasons","Anime Series, International TV Shows","18+","7.8/10","67/100",1,0,0,0,"High",3,0.25,0.725
"TV Show","Her Private Life","","Park Min-young, Kim Jae-uk, Ahn Bo-hyun, Jung Je-won, Park Jin-joo, Kim Bo-ra, Maeng Sang-hun, Kim Mee-kyung, Kim Sun-young, Lee Il-hwa","South Korea","July 15, 2021",2019,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies","","7.7/10","47/100",1,0,0,0,"Medium",5,0.25,0.62
"TV Show","Never Have I Ever","","Maitreyi Ramakrishnan, Poorna Jagannathan, Richa Moorjani, Jaren Lewison, Darren Barnet, John McEnroe, Ramona Young, Lee Rodriguez, Sendhil Ramamurthy, Adam Shapiro, Niecy Nash, Cocoa Brown, Lily D. Moore, Eddie Liu","United States","July 15, 2021",2021,"TV-14","2 Seasons","TV Comedies, TV Dramas, Teen TV Shows","16+","7.9/10","86/100",1,0,0,0,"Medium",3,0.25,0.825
"TV Show","Heist","","","","July 14, 2021",2021,"TV-MA","1 Season","Crime TV Shows, Docuseries","","6.8/10","65/100",1,0,0,0,"High",3,0.25,0.665
"TV Show","My Unorthodox Life","","","","July 14, 2021",2021,"TV-MA","1 Season","Reality TV","","4.9/10","57/100",1,0,0,0,"High",3,0.25,0.53
"TV Show","Ridley Jones","","Iara Nemirovsky, Laraine Newman, David Errigo Jr, Tyler Shamy, Ezra Menas, Ashlyn Madden, Sutton Foster","United States","July 13, 2021",2021,"TV-Y","1 Season","Kids' TV","all","5.6/10","52/100",1,0,0,0,"Low",3,0.25,0.54
"TV Show","Atypical","","Jennifer Jason Leigh, Keir Gilchrist, Michael Rapaport, Brigette Lundy-Paine, Amy Okuda, Jenna Boyd, Graham Rogers, Nik Dodani","United States","July 9, 2021",2021,"TV-14","4 Seasons","TV Comedies, TV Dramas, Teen TV Shows","16+","8.3/10","88/100",1,0,0,0,"Medium",3,0.25,0.855
"TV Show","Biohackers","","Luna Wedler, Jessica Schwarz, Adrian Julius Tillmann, Thomas Prenn, Jing Xiang, Caro Cult, Sebastian Jakob Doppelbauer","Germany","July 9, 2021",2021,"TV-MA","2 Seasons","International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","18+","6.8/10","75/100",1,0,0,0,"High",3,0.25,0.715
"TV Show","How to Become a Tyrant","","Peter Dinklage","","July 9, 2021",2021,"TV-MA","1 Season","Docuseries","","7.4/10","67/100",1,0,0,0,"High",3,0.25,0.705
"TV Show","Virgin River","","Alexandra Breckenridge, Martin Henderson, Tim Matheson, Annette O'Toole, Colin Lawrence, Jenny Cooper, Lauren Hammersley","United States","July 9, 2021",2021,"TV-14","3 Seasons","Romantic TV Shows, TV Dramas","16+","7.4/10","76/100",1,0,0,0,"Medium",3,0.25,0.75
"TV Show","Elize Matsunaga: Once Upon a Crime","","","","July 8, 2021",2021,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows","18+","5.8/10","58/100",1,0,0,0,"High",3,0.25,0.58
"Movie","Midnight Sun","Scott Speer","Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew, Tiera Skovbye, Ken Tremblett, Norm Misura, Austin Obiajunwa, Nicholas Coombe","United States","July 8, 2021",2018,"PG-13","91 min","Dramas, Romantic Movies","","7.5/10","58/100",1,1,0,0,"Medium",6,0.5,0.665
